Row,Name,Count,crank1,crankx
345,JACE ,128,+75Ê ,+1726Ê
345,MONTY ,128,+30Ê ,+196Ê
349,BILAL ,126,-29Ê ,-140Ê
350,DAWID ,122,-23Ê ,+2229Ê
350,TEDDIE ,122,+129Ê ,+1529Ê
352,HUGH ,121,+55Ê ,-64Ê
353,ARON ,120,+59Ê ,+25Ê
354,SCOTT ,119,-27Ê ,-267Ê
355,BODHI ,118,+282Ê ,Ê:Ê
355,CLARK ,118,+159Ê ,+868Ê
355,KALEB ,118,-5Ê ,+221Ê
355,ROBBIE ,118,+11Ê ,-169Ê
359,AMIR ,116,-48Ê ,-72Ê
359,ARCHER ,116,+48Ê ,+1052Ê
359,ASTON ,116,-84Ê ,-57Ê
359,CHESTER ,116,+222Ê ,+752Ê
359,LAURENCE ,116,+14Ê ,-63Ê
364,DEACON ,115,+32Ê ,+123Ê
365,DENNIS ,114,-17Ê ,-22Ê
365,RAFFERTY ,114,+10Ê ,+324Ê
367,ERIK ,112,+157Ê ,+509Ê
367,RAFE ,112,-25Ê ,+301Ê
369,CARSON ,111,+95Ê ,+670Ê
369,NATE ,111,-10Ê ,+792Ê
369,SZYMON ,111,-67Ê ,+1936Ê
372,AYMAN ,110,+48Ê ,+63Ê
372,ISA ,110,-77Ê ,-4Ê
374,AADAM ,109,-1Ê ,+39Ê
374,BROOKLYN ,109,-70Ê ,-97Ê
374,NOEL ,109,+60Ê ,+225Ê
374,ZAYD ,109,-36Ê ,+263Ê
378,ANGUS ,108,-45Ê ,-145Ê
378,BRIAN ,108,+21Ê ,-32Ê
378,JAC ,108,-28Ê ,-132Ê
381,CASSIUS ,107,-18Ê ,+351Ê
381,CRUZ ,107,+39Ê ,+3271Ê
381,DENIS ,107,-22Ê ,+218Ê
381,ILYAS ,107,+28Ê ,+96Ê
381,KHALID ,107,-36Ê ,-33Ê
381,KOBI ,107,+80Ê ,+435Ê
381,PATRYK ,107,-67Ê ,+967Ê
388,DOUGIE ,106,+59Ê ,+1491Ê
388,JAI ,106,-19Ê ,-142Ê
